,0.0g;0.0g,0.0g;1.5g,0.0g;3.0g,1.5g;0.0g,1.5g;1.5g,1.5g;3.0g,3.0g;0.0g,3.0g;1.5g,3.0g;3.0g
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.0,0.03263740181846528,0.024421817032769147,0.29973937773497383,0.1661823407937957,0.1702190032349595,0.31970338151753724,0.27391448864241874,0.9627215304335683
2,18.0,0.0622285286338327,0.05445014709207906,0.71504480250858,0.5595507012662252,0.6561335020376025,0.9630641675859326,0.7254605329941268,9.300142716431038
3,22.0,0.18558273276413312,0.17086996885752853,1.4090739086166875,1.1800935611674614,1.4387706206237845,2.1400582930180625,1.8653483151742893,16.111904700017686
4,26.0,0.3697737252651381,0.5434186672380502,2.499820797913481,2.124872084515929,2.538342682342006,3.9357763460492885,4.860365962815229,25.02232024686507
5,32.99999999999998,0.6075152669962605,1.0487024509544405,3.815396048243688,3.2159868886137346,3.1738082308566,6.036734726808568,8.828124808458343,34.621776613152726
6,36.99999999999995,0.9210052494245937,1.6542816909418934,5.427414658442817,3.382564836952267,4.914837199584773,8.603698576549329,13.661878143611661,44.593932018304706
7,47.99999999999991,1.3209265682953082,2.4831764931855287,7.538694460804193,4.059921515670222,7.6569889435353,11.917579071706836,19.04847439401315,55.593932018304706
8,57.99999999999991,1.772307590361285,3.467971319432001,9.767615882215932,5.231731195476236,10.85868126004901,15.336267123082473,24.079021310041576,65.59393201830471
9,67.99999999999991,2.289864589700419,4.669280230639167,12.312405591566359,6.826465675769663,14.516147554538774,19.120766929057137,29.844942476116604,75.59393201830471
10,78.99999999999991,2.935212427586335,6.171648380148713,15.428110328510039,8.988447666446174,18.98785372946244,23.698211311715077,37.35752379794548,86.59393201830471
11,88.99999999999991,3.622629069441624,7.714630948684246,18.561270570611793,11.260312626042463,23.380653641259354,28.192691485018088,45.065077792223924,96.59393201830471
12,98.99999999999991,4.373058302663735,9.53143528131251,21.964865982741895,13.787772740190935,28.082116670455957,32.97276520563533,53.494799550841,106.59393201830471
13,105.99999999999991,5.3075300307784055,11.87684994840965,26.003638679705528,16.85655884523425,33.55884557785406,38.54070919570451,63.477149295658016,117.59393201830471
14,107.19999999999992,6.263407112611003,14.218492374589442,29.950651950064447,19.860508800253065,38.785825611075836,43.869508982172206,73.0869898678657,127.59393201830471
15,109.69999999999996,7.286778809001336,16.7287887312904,34.11875080100131,23.068681455538044,44.2277439351135,49.41898747475223,83.0869898678657,137.5920623117112
16,109.7000000000002,8.442424195472134,19.53320962176849,38.526772684976194,26.48979729518145,49.85006979621593,55.17195902022489,93.0869898678657,147.58412753044695
17,117.69999999999995,9.814145657466707,23.049072893089335,43.61268229903795,30.461372678636653,56.23370969583292,61.72485257510644,104.0869898678657,158.56211656743727
18,123.03333333333312,11.147958254334823,26.435222891778736,48.44909799628258,34.26633237802126,62.2031195490862,67.8669102542778,114.0869898678657,168.51088876597788
19,125.36666666666652,12.620208840452698,29.87380464910795,53.46905792824931,38.23780128614842,68.32508553434513,74.16649804330099,124.0869898678657,178.4465768445514
20,133.00303030303013,14.259469073616021,33.78608061159973,59.198021899264184,42.78782396379168,75.22415826263335,81.26354824001244,135.0869898678657,189.36041428128124
21,143.00303030303013,15.846544391162459,37.53223740290824,64.58304730075145,47.09246579479922,81.6348500234348,87.8642151431361,145.0869898678657,199.27390776604068
22,153.00303030303013,17.444472193287755,41.24516091191521,70.11690014072073,51.5489891953891,88.17341164769317,94.59207329938205,155.0869898678657,209.18219804187606
23,164.00303030303013,18.939960550193714,45.204972673040444,76.38124559801854,56.62179389256648,95.50400725559811,102.12800032189337,166.0869898678657,220.0718260473351
24,174.00303030303013,19.636194027896163,48.617728868892705,82.21346528194057,61.38414984109678,102.28347060265608,109.09299296968437,176.0869898678657,229.9700750970217
25,184.00303030303013,20.223956861490247,51.795377023492705,88.18071576673309,66.28196230728317,109.1630623036419,116.16233563309136,186.0869898678657,239.8678322647416
26,195.00303030303013,20.633322236424153,55.128413028549396,94.88259236986083,71.82227327705387,116.8410279115507,124.0466648429932,197.0869898678657,250.7553501108708
27,205.00303030303013,20.79632455098242,58.01059971885494,101.09325013480779,76.98954366483808,123.9147556013036,131.30616148953214,207.0869898678657,260.6529725219028
28,212.02683982683976,20.8527280400392,60.719697086722235,107.4154901678693,82.27923248953546,131.07428465816326,138.6507173847685,217.0869898678657,270.5504927453139
29,217.9435064935065,21.06327472403114,63.48088810506547,114.48321479736919,88.23307805560829,139.04460845466858,146.82043952862895,228.0869898678657,281.43895156169424
