,-3.0g;0.0g,-3.0g;1.5g,-3.0g;3.0g,0.0g;0.0g,0.0g;1.5g,0.0g;3.0g,3.0g;0.0g,3.0g;1.5g,3.0g;3.0g
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.31970338151753763,0.24467821188498098,0.22744094898627612,9.0,0.03263740181846528,0.024421817032769147,0.31970338151753724,0.27391448864241874,0.9627215304335683
2,0.9630641675859323,0.8652071290033232,0.8915993038454919,18.0,0.0622285286338327,0.05445014709207906,0.9630641675859326,0.7254605329941268,9.300142716431038
3,2.140058293018062,1.9434354032239374,1.9827373930484147,22.0,0.18558273276413312,0.17086996885752853,2.1400582930180625,1.8653483151742893,16.111904700017686
4,3.9357763460492894,3.6117474303140242,3.6973388906839726,26.0,0.3697737252651381,0.5434186672380502,3.9357763460492885,4.860365962815229,25.02232024686507
5,6.036734726808572,5.565259989136349,5.720304531596482,32.99999999999998,0.6075152669962605,1.0487024509544405,6.036734726808568,8.828124808458343,34.621776613152726
6,8.603698576549336,7.93780398153406,8.174494229782766,36.99999999999995,0.9210052494245937,1.6542816909418934,8.603698576549329,13.661878143611661,44.593932018304706
7,11.917579071706841,11.008222347794254,11.33471803494425,47.99999999999991,1.3209265682953082,2.4831764931855287,11.917579071706836,19.04847439401315,55.593932018304706
8,15.336267123082475,14.196000631859853,14.60302709246016,57.99999999999991,1.772307590361285,3.467971319432001,15.336267123082473,24.079021310041576,65.59393201830471
9,19.12076692905714,17.734900877677934,18.24335174423001,67.99999999999991,2.289864589700419,4.669280230639167,19.120766929057137,29.844942476116604,75.59393201830471
10,23.69821131171508,22.008027597134912,22.632096616292024,78.99999999999991,2.935212427586335,6.171648380148713,23.698211311715077,37.35752379794548,86.59393201830471
11,28.19269148501809,26.22481766867665,26.948241475599243,88.99999999999991,3.622629069441624,7.714630948684246,28.192691485018088,45.065077792223924,96.59393201830471
12,32.97276520563534,30.72777164573761,31.54116996192754,98.99999999999991,4.373058302663735,9.53143528131251,32.97276520563533,53.494799550841,106.59393201830471
13,38.540709195704515,35.9837455333069,36.90777297889624,105.99999999999991,5.3075300307784055,11.87684994840965,38.54070919570451,63.477149295658016,117.59393201830471
14,43.86950898217221,41.01812048379351,42.03552183229813,107.19999999999992,6.263407112611003,14.218492374589442,43.869508982172206,73.0869898678657,127.59393201830471
15,49.41898747475224,46.28600646368049,47.39317757801941,109.69999999999996,7.286778809001336,16.7287887312904,49.41898747475223,83.0869898678657,137.5920623117112
16,55.17195902022491,51.760637354007585,52.953524646894095,109.7000000000002,8.442424195472134,19.53320962176849,55.17195902022489,93.0869898678657,147.58412753044695
17,61.72485257510647,58.00238086936837,59.29135275676563,117.69999999999995,9.814145657466707,23.049072893089335,61.72485257510644,104.0869898678657,158.56211656743727
18,67.86691025427783,63.86920370886296,65.23818169785132,123.03333333333312,11.147958254334823,26.435222891778736,67.8669102542778,114.0869898678657,168.51088876597788
19,74.16649804330102,69.90266061878533,71.34573976835459,125.36666666666652,12.620208840452698,29.87380464910795,74.16649804330099,124.0869898678657,178.4465768445514
20,81.26354824001248,76.71461208811245,78.24204490592663,133.00303030303013,14.259469073616021,33.78608061159973,81.26354824001244,135.0869898678657,189.36041428128124
21,87.86421514313614,83.05778128139802,84.65445031596599,143.00303030303013,15.846544391162459,37.53223740290824,87.8642151431361,145.0869898678657,199.27390776604068
22,94.5920732993821,89.53316809927973,91.20217382238512,153.00303030303013,17.444472193287755,41.24516091191521,94.59207329938205,155.0869898678657,209.18219804187606
23,102.12800032189342,96.79941067869525,98.53988780381646,164.00303030303013,18.939960550193714,45.204972673040444,102.12800032189337,166.0869898678657,220.0718260473351
24,109.09299296968445,103.52752764935768,105.33230426771455,174.00303030303013,19.636194027896163,48.617728868892705,109.09299296968437,176.0869898678657,229.9700750970217
25,116.16233563309143,110.3616739917697,112.22693071893345,184.00303030303013,20.223956861490247,51.795377023492705,116.16233563309136,186.0869898678657,239.8678322647416
26,124.04666484299327,117.99442124282179,119.92932732513603,195.00303030303013,20.633322236424153,55.128413028549396,124.0466648429932,197.0869898678657,250.7553501108708
27,131.30616148953223,125.03588615812492,127.02702308204556,205.00303030303013,20.79632455098242,58.01059971885494,131.30616148953214,207.0869898678657,260.6529725219028
28,138.6507173847686,132.16488901512852,134.21258147883034,212.02683982683976,20.8527280400392,60.719697086722235,138.6507173847685,217.0869898678657,270.5504927453139
29,146.82043952862904,140.1007611426169,142.21042208763046,217.9435064935065,21.06327472403114,63.48088810506547,146.82043952862895,228.0869898678657,281.43895156169424
